holidays,religious
1/1/2019,0
4/23/2019,0
5/1/2019,0
5/19/2019,0
6/3/2019,1
6/4/2019,1
6/5/2019,1
6/6/2019,1
7/15/2019,0
8/10/2019,1
8/11/2019,1
8/12/2019,1
8/13/2019,1
8/14/2019,1
8/30/2019,0
10/28/2019,0
10/29/2019,0
12/31/2019,0
